Age,Gender,Marital_Status,Household_Size,Governorate,Salary,Degree_Level,Employment_Status,Primary_Income_Source,Has_Other_Social_Benefits,Assets_Value,Liabilities_Value,Number_of_Children,Total_Spouse_Income,Working_Children_Count,Total_Children_Income,Total_Household_Income,Vehicle_Ownership,Vehicle_Count,Cylinder_Count,Vehicle_Age_Years,Fuel_Type,Expected_Fuel_Consumption_L,Average_Fuel_Consumption_L,Fuel_Deviation_L,Fuel_Deviation_Ratio,Previous_Subsidy_Received,Previous_Subsidy_Amount,Late_or_Missed_Renewals,Applications_Last_12_Months,Fraud,Eligible
22.0,Male,Single,1,Muscat,96.92,Bachelor,Employed,Private,0,2816.58,1475.02,0,0.0,0,0.0,96.92,1,1,4,11,Diesel,127.2,304.175,176.98,2.391,1,24.13,2,4,1,1
47.0,Male,Married,9,Sohar,144.06,Diploma,Employed,Government,0,1590.45,2157.47,4,204.31,0,0.0,348.37,1,1,4,5,Petrol,120.0,104.86,-15.14,0.874,1,24.42,0,0,0,1
38.0,Female,Single,3,Dhofar,82.22,Diploma,Unemployed,Government,1,1213.0,2690.38,0,0.0,0,0.0,82.22,1,2,4,11,Diesel,127.2,136.13,8.93,1.07,1,27.05,0,0,0,1
18.0,Male,Single,8,Sur,80.0,Diploma,Student,Government,0,2345.13,3379.22,0,0.0,0,0.0,80.0,1,1,6,10,Diesel,189.0,203.48,14.48,1.077,0,5.0,1,1,0,1
28.0,Female,Single,3,Sohar,80.0,Diploma,Employed,Government,1,1077.01,3111.43,0,0.0,0,0.0,80.0,1,1,4,10,Diesel,126.0,128.21,2.21,1.018,1,36.66,1,3,0,1
55.0,Male,Single,4,Nizwa,80.0,None,Student,Private,0,6438.31,5729.04,0,0.0,0,0.0,80.0,1,2,4,6,Petrol,121.2,115.97,-5.23,0.957,1,21.47,1,0,0,1
18.0,Male,Single,6,Sur,82.06,HighSchool,Student,Government,0,4441.92,4982.49,0,0.0,0,0.0,82.06,1,1,6,3,Petrol,176.4,205.51,29.11,1.165,1,23.54,0,2,0,1
30.0,Female,Single,5,Muscat,80.0,Bachelor,Employed,Private,1,3335.19,3475.99,0,0.0,0,0.0,80.0,1,1,8,7,Petrol,255.0,292.71,37.71,1.148,1,23.35,0,2,0,1
50.0,Male,Single,4,Sohar,80.0,HighSchool,Employed,Private,0,3452.73,5567.15,0,0.0,0,0.0,80.0,1,2,4,6,Petrol,121.2,116.56,-4.64,0.962,1,38.43,1,1,0,1
25.0,Female,Married,5,Sur,80.0,HighSchool,Employed,Private,1,1466.45,306.01,1,234.17,0,0.0,314.17,1,2,6,13,Diesel,194.4,196.37,1.97,1.01,1,16.23,1,0,0,1
27.0,Female,Single,5,Sur,80.0,Diploma,Employed,Private,1,10493.63,1779.91,0,0.0,0,0.0,80.0,1,3,8,11,Petrol,265.0,239.88,-25.12,0.905,1,26.86,1,2,0,1
34.0,Male,Married,2,Muscat,118.32,Bachelor,Unemployed,SelfEmployed,0,4928.99,2023.19,0,184.31,0,0.0,302.63,1,1,4,9,Petrol,124.8,112.8,-12.0,0.904,1,19.2,0,0,0,1
53.0,Male,Single,3,Sohar,80.0,HighSchool,Employed,SelfEmployed,1,2893.41,1703.98,0,0.0,0,0.0,80.0,1,1,4,2,Petrol,116.4,130.28,13.88,1.119,1,39.67,1,0,0,1
27.0,Male,Married,5,Sohar,80.0,Diploma,Unemployed,Private,0,3921.41,1827.8,2,397.21,0,0.0,477.21,1,3,4,8,Petrol,123.6,146.51,22.91,1.185,1,17.94,0,1,0,1
30.0,Female,Married,2,Nizwa,152.45,HighSchool,Employed,Government,0,1582.57,2158.49,1,301.73,0,0.0,454.18,1,1,4,3,Diesel,117.6,126.08,8.48,1.072,1,15.54,1,2,0,1
30.0,Female,Single,5,Nizwa,148.33,HighSchool,Student,Government,0,2399.73,3705.6,0,0.0,0,0.0,148.33,1,2,4,11,Diesel,127.2,107.94,-19.26,0.849,1,29.44,1,1,0,1
