Age,Applications_Last_12_Months,Assets_Value,Average_Fuel_Consumption_L,Cylinder_Count,Degree_Level,Eligible,Employment_Status,Expected_Fuel_Consumption_L,Fuel_Deviation_L,Fuel_Deviation_Ratio,Fuel_Type,Gender,Governorate,Has_Other_Social_Benefits,Household_Size,ID,Late_or_Missed_Renewals,Liabilities_Value,Marital_Status,Number_of_Children,Previous_Subsidy_Amount,Previous_Subsidy_Received,Primary_Income_Source,Salary,Total_Children_Income,Total_Household_Income,Total_Spouse_Income,Vehicle_Age_Years,Vehicle_Count,Vehicle_Ownership,Working_Children_Count,Fraud
22,2,4800.57,85.797,4,2,1,2,100,-14.2,0.858,2,1,1,0,1,11997417,1,1201.3,2,0,30.26,1,2,80.0,0.0,80.0,0.0,8,1,1,0,0
47,3,2132.85,136.97,6,4,1,0,100,36.97,1.37,2,1,1,1,4,17914808,2,2749.14,1,1,5.0,0,0,80.0,0.0,293.73,213.73,9,0,1,0,0
38,1,2389.59,94.129,4,0,1,0,100,-5.87,0.941,2,0,2,1,3,13843558,0,3332.81,2,0,24.74,1,2,83.97,0.0,83.97,0.0,10,3,1,0,0
18,0,5342.45,111.447,4,4,1,2,100,11.45,1.114,2,1,2,0,4,15405714,0,1170.7,2,0,12.81,1,2,172.85,0.0,172.85,0.0,8,3,1,0,0
28,1,2231.54,46.568,6,1,1,3,100,-53.43,0.466,2,0,1,0,5,19429796,0,1985.26,2,0,23.37,1,0,80.0,0.0,80.0,0.0,5,1,1,0,0
55,1,1740.51,0.0,0,1,0,0,0,0.0,0.0,1,1,2,0,4,13580253,0,645.13,2,0,17.65,1,0,127.66,0.0,127.66,0.0,0,0,0,0,0
18,1,3691.39,78.617,8,0,1,2,100,-21.38,0.786,2,1,4,1,1,17780107,1,729.42,2,0,22.81,1,0,148.34,0.0,148.34,0.0,9,2,1,0,0
30,0,2458.39,113.153,4,3,1,3,100,13.15,1.132,2,0,4,0,3,11095232,0,5545.64,2,0,25.4,1,0,80.0,0.0,80.0,0.0,4,0,1,0,0
50,2,3559.99,82.107,4,1,1,3,100,-17.89,0.821,2,1,0,0,3,12504518,1,1819.08,2,0,24.82,1,3,80.0,0.0,80.0,0.0,6,1,1,0,0
25,2,3602.62,91.272,6,2,1,0,100,-8.73,0.913,0,0,4,1,5,13509788,0,3183.83,1,0,5.0,0,2,140.82,0.0,557.89,417.07,7,4,1,0,0
